Row,Parent Feature Summary,Original Work Alignment,Original Work Category,Story Summary,Original Classification,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence,Classification Rationale
232,SRE Delivery: Chaos Engineering,Black,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
233,Acquisitions ART Production Support,Orange,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
234,Acquisitions ART Production Support,Red,Maintenance,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
235,Migrated Delivery,Red,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
236,SRE Delivery: Chaos Engineering,Yellow,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
237,Security & Vulnerability Management,Black,Production Support,Remediate identified vulnerabilities in shared services to support production operations,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Production Support + Security + regulatory keywords → Regulatory Operational
238,Acquisitions ART Production Support,Yellow,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
239,Continuous Improvement Feature,Green,Continuous Improvement,Improve observability and logging standards to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
240,Security & Vulnerability Management,Red,Production Support,Remediate identified vulnerabilities in shared services to support production operations,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Production Support + Security + regulatory keywords → Regulatory Operational
241,Continuous Improvement Feature,Orange,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
242,Security & Vulnerability Management,Black,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
243,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
244,Migrated Delivery,Black,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Migrated + Black → Technical Maintenance
245,Continuous Improvement Feature,Black,Production Support,Improve observability and logging standards to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
246,SRE Delivery: Chaos Engineering,Red,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
247,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
248,Continuous Improvement Feature,Yellow,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
249,Migrated Delivery,Orange,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
250,SRE Delivery: Chaos Engineering,Black,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
251,Continuous Improvement Feature,Yellow,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
252,Continuous Improvement Feature,Green,Continuous Improvement,Improve observability and logging standards to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
253,Acquisitions ART Production Support,Red,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
254,Acquisitions ART Production Support,Yellow,Business Functionality,Address production support gaps impacting acquisition flows to enable required business functionality,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
255,Acquisitions ART Production Support,Yellow,Continuous Improvement,Stabilize acquisition-related batch processing to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
256,Security & Vulnerability Management,Black,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
257,SRE Delivery: Chaos Engineering,Red,Production Support,Refine chaos experiment execution and rollback mechanisms to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
258,Acquisitions ART Production Support,Red,Business Functionality,Stabilize acquisition-related batch processing to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
259,SRE Delivery: Chaos Engineering,Red,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
260,SRE Delivery: Chaos Engineering,Black,Maintenance,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
261,Continuous Improvement Feature,Orange,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
262,SRE Delivery: Chaos Engineering,Yellow,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
263,SRE Delivery: Chaos Engineering,Yellow,Business Functionality,Improve resilience testing coverage for critical workloads to enable required business functionality,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
264,Migrated Delivery,Black,Enablers,Stabilize workloads following platform migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH,Migrated + Black → Technical Maintenance
265,Continuous Improvement Feature,Orange,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
266,Migrated Delivery,Yellow,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
267,SRE Delivery: Chaos Engineering,Black,Enablers,Improve resilience testing coverage for critical workloads to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
268,Acquisitions ART Production Support,Orange,Production Support,Stabilize acquisition-related batch processing to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH,Production Support work category → KTLO
269,Security & Vulnerability Management,Green,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Green + operational → Technical Maintenance
270,Migrated Delivery,Yellow,Continuous Improvement,Resolve post-migration defects impacting service delivery to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
271,Security & Vulnerability Management,Black,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
272,Continuous Improvement Feature,Orange,Enablers,Improve observability and logging standards to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
273,Continuous Improvement Feature,Green,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
274,Migrated Delivery,Black,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
275,Acquisitions ART Production Support,Yellow,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
276,Continuous Improvement Feature,Red,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
277,Migrated Delivery,Black,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
278,SRE Delivery: Chaos Engineering,Green,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM,SRE + Green → Technical Maintenance
279,Migrated Delivery,Black,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Migrated + Black → Technical Maintenance
280,SRE Delivery: Chaos Engineering,Orange,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
281,Security & Vulnerability Management,Red,Enablers,Harden service configurations based on security findings to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
282,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
283,SRE Delivery: Chaos Engineering,Green,Continuous Improvement,Stabilize fault injection scenarios for distributed services to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM,SRE + Green + CI → Other Blocked Priority
284,Security & Vulnerability Management,Orange,Production Support,Remediate identified vulnerabilities in shared services to support production operations,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Production Support + Security + regulatory keywords → Regulatory Operational
285,Migrated Delivery,Red,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
286,Migrated Delivery,Black,Business Functionality,Address technical debt introduced during migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Migrated + Black → Technical Maintenance
287,Migrated Delivery,Green,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
288,SRE Delivery: Chaos Engineering,Green,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
289,Security & Vulnerability Management,Green,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
290,Acquisitions ART Production Support,Black,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
291,Continuous Improvement Feature,Red,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
292,Acquisitions ART Production Support,Yellow,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
293,Continuous Improvement Feature,Yellow,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
294,Security & Vulnerability Management,Yellow,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
295,Continuous Improvement Feature,Orange,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
296,Security & Vulnerability Management,Red,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM,Security + Red (high-priority operational) → KTLO
297,SRE Delivery: Chaos Engineering,Red,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
298,Acquisitions ART Production Support,Orange,Maintenance,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
299,Acquisitions ART Production Support,Green,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM,Acquisitions + Green + CI → Other Blocked Priority
300,Acquisitions ART Production Support,Orange,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
301,Migrated Delivery,Green,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM,Migrated + Green + CI → Other Blocked Priority
302,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
303,Continuous Improvement Feature,Black,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
304,Continuous Improvement Feature,Black,Maintenance,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Optimization,HIGH,Pre-classified as Technical Maintenance
305,SRE Delivery: Chaos Engineering,Yellow,Maintenance,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
306,Continuous Improvement Feature,Red,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM,CI Feature + Red → KTLO (urgent operational)
307,Continuous Improvement Feature,Black,Business Functionality,Optimize deployment workflows for improved reliability to enable required business functionality,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
308,Migrated Delivery,Red,Enablers,Address technical debt introduced during migration to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM,Migrated + Red → KTLO
309,Security & Vulnerability Management,Orange,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
310,Security & Vulnerability Management,Green,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
311,Security & Vulnerability Management,Black,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
312,Continuous Improvement Feature,Black,Enablers,Optimize deployment workflows for improved reliability to unblock dependent teams,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
313,Acquisitions ART Production Support,Green,Production Support,Stabilize acquisition-related batch processing to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH,Production Support work category → KTLO
314,Security & Vulnerability Management,Black,Production Support,Update security scanning rules and suppression logic to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
315,Migrated Delivery,Orange,Continuous Improvement,Stabilize workloads following platform migration to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
316,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
317,Continuous Improvement Feature,Green,Business Functionality,Refactor pipeline components to reduce operational overhead to enable required business functionality,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
318,Security & Vulnerability Management,Green,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
319,Migrated Delivery,Green,Maintenance,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
320,Security & Vulnerability Management,Red,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
321,Migrated Delivery,Green,Production Support,Stabilize workloads following platform migration to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
322,Continuous Improvement Feature,Yellow,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM,CI Feature + Yellow → Divisional Priority
323,Continuous Improvement Feature,Green,Continuous Improvement,Refactor pipeline components to reduce operational overhead to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM,CI Feature + Green → Other Blocked Priority
324,Security & Vulnerability Management,Orange,Production Support,Harden service configurations based on security findings to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH,Production Support work category → KTLO
325,Continuous Improvement Feature,Yellow,Maintenance,Improve observability and logging standards as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Observability,HIGH,Pre-classified as Technical Maintenance
326,SRE Delivery: Chaos Engineering,Black,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
327,Migrated Delivery,Yellow,Enablers,Resolve post-migration defects impacting service delivery to unblock dependent teams,,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM,Migrated + Yellow + improvement → Divisional Priority
328,Continuous Improvement Feature,Yellow,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
329,Security & Vulnerability Management,Black,Continuous Improvement,Remediate identified vulnerabilities in shared services to drive continuous improvement,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
330,Acquisitions ART Production Support,Orange,Enablers,Stabilize acquisition-related batch processing to unblock dependent teams,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
331,Security & Vulnerability Management,Green,Enablers,Remediate identified vulnerabilities in shared services to unblock dependent teams,,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM,Security + regulatory signals → Regulatory Operational
332,Acquisitions ART Production Support,Green,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM,Acquisitions + Green + CI → Other Blocked Priority
333,SRE Delivery: Chaos Engineering,Red,Continuous Improvement,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
334,Security & Vulnerability Management,Green,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
335,Security & Vulnerability Management,Yellow,Business Functionality,Update security scanning rules and suppression logic to enable required business functionality,,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM,Security + Yellow → Divisional Priority
336,Security & Vulnerability Management,Black,Business Functionality,Harden service configurations based on security findings to enable required business functionality,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
337,SRE Delivery: Chaos Engineering,Orange,Business Functionality,Stabilize fault injection scenarios for distributed services to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM,SRE + Orange → Enterprise Strategic
338,Acquisitions ART Production Support,Green,Enablers,Address production support gaps impacting acquisition flows to unblock dependent teams,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Green → Business Maintenance
339,SRE Delivery: Chaos Engineering,Yellow,Continuous Improvement,Improve resilience testing coverage for critical workloads to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
340,SRE Delivery: Chaos Engineering,Red,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM,SRE + Red (high-priority operational) → KTLO
341,Migrated Delivery,Green,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM,Migrated + Green → Technical Maintenance
342,Continuous Improvement Feature,Yellow,Maintenance,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH,Pre-classified as Technical Maintenance
343,Migrated Delivery,Black,Production Support,Resolve post-migration defects impacting service delivery to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
344,Migrated Delivery,Orange,Continuous Improvement,Address technical debt introduced during migration to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
345,SRE Delivery: Chaos Engineering,Yellow,Business Functionality,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM,SRE + Yellow → Divisional Priority
346,Security & Vulnerability Management,Green,Continuous Improvement,Update security scanning rules and suppression logic to drive continuous improvement,,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM,Security + Green + CI → Other Blocked Priority
347,Acquisitions ART Production Support,Black,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Run,BLACK,Business Maintenance,Process support changes,MEDIUM,Acquisitions + Black → Business Maintenance
348,Acquisitions ART Production Support,Orange,Continuous Improvement,Address production support gaps impacting acquisition flows to drive continuous improvement,,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM,Acquisitions + Orange → Enterprise Strategic
349,Acquisitions ART Production Support,Yellow,Continuous Improvement,Resolve operational issues affecting downstream integrations to drive continuous improvement,,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM,Acquisitions + Yellow → Divisional Priority
350,Acquisitions ART Production Support,Red,Enablers,Resolve operational issues affecting downstream integrations to unblock dependent teams,,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM,Acquisitions + Red → KTLO
351,Continuous Improvement Feature,Orange,Business Functionality,Improve observability and logging standards to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM,CI Feature + Orange → Enterprise Strategic
352,Acquisitions ART Production Support,Green,Production Support,Resolve operational issues affecting downstream integrations to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
353,Continuous Improvement Feature,Yellow,Production Support,Refactor pipeline components to reduce operational overhead to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
354,Migrated Delivery,Yellow,Business Functionality,Address technical debt introduced during migration to enable required business functionality,,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM,Migrated + Yellow → Technical Maintenance
355,Migrated Delivery,Red,Maintenance,Stabilize workloads following platform migration as part of ongoing maintenance activities,Business Maintenance,Run,BLACK,Business Maintenance,Process support changes,HIGH,Pre-classified as Business Maintenance
356,SRE Delivery: Chaos Engineering,Orange,Maintenance,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,Pre-classified as Technical Maintenance
357,SRE Delivery: Chaos Engineering,Yellow,Production Support,Stabilize fault injection scenarios for distributed services to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
358,SRE Delivery: Chaos Engineering,Black,Enablers,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH,SRE + Black → Technical Maintenance
359,Security & Vulnerability Management,Black,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
360,Security & Vulnerability Management,Red,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
361,Migrated Delivery,Orange,Business Functionality,Resolve post-migration defects impacting service delivery to enable required business functionality,,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM,Migrated + Orange → Enterprise Strategic
362,Acquisitions ART Production Support,Green,Production Support,Address production support gaps impacting acquisition flows to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH,Production Support work category → KTLO
363,SRE Delivery: Chaos Engineering,Yellow,Production Support,Improve resilience testing coverage for critical workloads to support production operations,,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH,Production Support work category → KTLO
364,Security & Vulnerability Management,Red,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
365,Continuous Improvement Feature,Black,Enablers,Improve observability and logging standards to unblock dependent teams,,Run,BLACK,Technical Maintenance,Observability,MEDIUM,CI Feature + Black → Technical Maintenance
366,Security & Vulnerability Management,Yellow,Maintenance,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Technical Maintenance,Run,BLACK,Technical Maintenance,Security hardening,HIGH,Pre-classified as Technical Maintenance
367,Continuous Improvement Feature,Black,Continuous Improvement,Optimize deployment workflows for improved reliability to drive continuous improvement,,Run,BLACK,Technical Maintenance,Optimization,MEDIUM,CI Feature + Black → Technical Maintenance
368,Security & Vulnerability Management,Black,Continuous Improvement,Harden service configurations based on security findings to drive continuous improvement,,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM,Security + Black → Technical Maintenance
