Row,Parent Feature Summary,Story Summary,WAF Run/Change,WAF Color,WAF Category,WAF Sub-Category,Confidence
245,Continuous Improvement Feature,Improve observability and logging standards to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
246,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
247,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
248,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
249,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
250,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
251,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
252,Continuous Improvement Feature,Improve observability and logging standards to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
253,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
254,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
255,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
256,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
257,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
258,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
259,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
260,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
261,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
262,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
263,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
264,Migrated Delivery,Stabilize workloads following platform migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,HIGH
265,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
266,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
267,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
268,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
269,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
270,Migrated Delivery,Resolve post-migration defects impacting service delivery to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
271,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
272,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
273,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
274,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
275,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
276,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
277,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
278,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Run,BLACK,Technical Maintenance,Reliability improvement,MEDIUM
279,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
280,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
281,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
282,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
283,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
284,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
285,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
286,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
287,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
288,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
289,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
290,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
291,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
292,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
293,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
294,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
295,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
296,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
297,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
298,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
299,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
300,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
301,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
302,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
303,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
304,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
305,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
306,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
307,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to enable required business functionality,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
308,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
309,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
310,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
311,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
312,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to unblock dependent teams,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
313,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
314,Security & Vulnerability Management,Update security scanning rules and suppression logic to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
315,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
316,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
317,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
318,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
319,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
320,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
321,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
322,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
323,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
324,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
325,Continuous Improvement Feature,Improve observability and logging standards as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Observability,HIGH
326,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
327,Migrated Delivery,Resolve post-migration defects impacting service delivery to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
328,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
329,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
330,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
331,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
332,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,GREEN,Other Blocked Priority,Acquisition improvements,MEDIUM
333,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
334,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
335,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
336,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
337,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
338,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to unblock dependent teams,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
339,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
340,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Reliability operations,MEDIUM
341,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Run,BLACK,Technical Maintenance,Platform upgrades,MEDIUM
342,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
343,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
344,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
345,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to enable required business functionality,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
346,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Change,GREEN,Other Blocked Priority,Security improvements,MEDIUM
347,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,BLACK,Business Maintenance,Process support changes,MEDIUM
348,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
349,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
350,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
351,Continuous Improvement Feature,Improve observability and logging standards to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Process transformation,MEDIUM
352,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
353,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
354,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
355,Migrated Delivery,Stabilize workloads following platform migration as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
356,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
357,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
358,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to unblock dependent teams,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
359,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
360,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
361,Migrated Delivery,Resolve post-migration defects impacting service delivery to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
362,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
363,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to support production operations,Run,GRAY,KTLO (Keep the Lights On),Emergency break-fix,HIGH
364,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
365,Continuous Improvement Feature,Improve observability and logging standards to unblock dependent teams,Run,BLACK,Technical Maintenance,Observability,MEDIUM
366,Security & Vulnerability Management,Update security scanning rules and suppression logic as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
367,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Run,BLACK,Technical Maintenance,Optimization,MEDIUM
368,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
369,Migrated Delivery,Address technical debt introduced during migration to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Migration transformation,MEDIUM
370,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to drive continuous improvement,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
371,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,YELLOW,Top Divisional Priority,Migration completion,MEDIUM
372,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
373,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to support production operations,Run,GRAY,KTLO (Keep the Lights On),Batch operations,HIGH
374,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
375,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to support production operations,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
376,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,MEDIUM
377,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,YELLOW,Top Divisional Priority,SRE initiative,MEDIUM
378,Migrated Delivery,Stabilize workloads following platform migration to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Post-migration stabilization,MEDIUM
379,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
380,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
381,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
382,Migrated Delivery,Resolve post-migration defects impacting service delivery as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
383,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
384,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Acquisition integration,MEDIUM
385,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
386,Security & Vulnerability Management,Update security scanning rules and suppression logic to drive continuous improvement,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
387,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to enable required business functionality,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
388,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
389,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
390,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
391,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
392,Acquisitions ART Production Support,Stabilize acquisition-related batch processing as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
393,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
394,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
395,Migrated Delivery,Address technical debt introduced during migration to enable required business functionality,Run,BLACK,Technical Maintenance,Tech debt reduction,HIGH
396,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
397,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
398,Continuous Improvement Feature,Optimize deployment workflows for improved reliability to drive continuous improvement,Change,YELLOW,Top Divisional Priority,CI initiative,MEDIUM
399,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
400,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
401,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to unblock dependent teams,Change,GREEN,Other Blocked Priority,Incremental improvements,MEDIUM
402,Security & Vulnerability Management,Harden service configurations based on security findings to support production operations,Run,GRAY,KTLO (Keep the Lights On),Security operations,HIGH
403,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations as part of ongoing maintenance activities,Run,BLACK,Business Maintenance,Process support changes,HIGH
404,Migrated Delivery,Stabilize workloads following platform migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
405,Security & Vulnerability Management,Remediate identified vulnerabilities in shared services to unblock dependent teams,Run,RED,Regulatory (Operational),Compliance operations,MEDIUM
406,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,ORANGE,Enterprise Strategic Priority,Reliability engineering,MEDIUM
407,Migrated Delivery,Resolve post-migration defects impacting service delivery to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
408,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
409,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
410,Migrated Delivery,Address technical debt introduced during migration to drive continuous improvement,Change,GREEN,Other Blocked Priority,Post-migration improvements,MEDIUM
411,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
412,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
413,Security & Vulnerability Management,Harden service configurations based on security findings to enable required business functionality,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
414,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to enable required business functionality,Run,GRAY,KTLO (Keep the Lights On),Operational improvement,MEDIUM
415,Acquisitions ART Production Support,Stabilize acquisition-related batch processing to unblock dependent teams,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
416,Security & Vulnerability Management,Harden service configurations based on security findings to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
417,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
418,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
419,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
420,Security & Vulnerability Management,Harden service configurations based on security findings as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Security hardening,HIGH
421,Continuous Improvement Feature,Optimize deployment workflows for improved reliability as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Optimization,HIGH
422,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
423,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
424,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
425,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to enable required business functionality,Change,YELLOW,Top Divisional Priority,Acquisition initiative,MEDIUM
426,SRE Delivery: Chaos Engineering,Refine chaos experiment execution and rollback mechanisms to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
427,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
428,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Change,ORANGE,Enterprise Strategic Priority,Security infrastructure,MEDIUM
429,Security & Vulnerability Management,Harden service configurations based on security findings to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Security operations,MEDIUM
430,Security & Vulnerability Management,Update security scanning rules and suppression logic to unblock dependent teams,Run,BLACK,Technical Maintenance,Security hardening,MEDIUM
431,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
432,Continuous Improvement Feature,Refactor pipeline components to reduce operational overhead to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
433,Migrated Delivery,Address technical debt introduced during migration to support production operations,Run,GRAY,KTLO (Keep the Lights On),Operational support,HIGH
434,SRE Delivery: Chaos Engineering,Improve resilience testing coverage for critical workloads to drive continuous improvement,Change,GREEN,Other Blocked Priority,Resilience improvements,MEDIUM
435,SRE Delivery: Chaos Engineering,Stabilize fault injection scenarios for distributed services as part of ongoing maintenance activities,Run,BLACK,Technical Maintenance,Reliability improvement,HIGH
436,Security & Vulnerability Management,Update security scanning rules and suppression logic to enable required business functionality,Change,YELLOW,Top Divisional Priority,Security initiative,MEDIUM
437,Acquisitions ART Production Support,Address production support gaps impacting acquisition flows to drive continuous improvement,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
438,Acquisitions ART Production Support,Resolve operational issues affecting downstream integrations to unblock dependent teams,Run,GRAY,KTLO (Keep the Lights On),Acquisition operations,MEDIUM
